======================================================================
              Evolutionary Snake AI - Training
======================================================================

Configuration:
  Grid: 8x8
  Population: 2000
  Generations: 5000
  Games per evaluation: 3
  Network growth: ENABLED
    Start: 1 layers, 16-24 neurons each
    Growth threshold: score >= 4
    Plateau detection: 500 generations
  Mutation rate: 0.2
  Crossover rate: 0.7

Random seed: 1768933024

Gen   65 | Best Fitness:  1625.10 | Avg Fitness:   288.85 | Best Score:  10
Gen   66 | Best Fitness:  1801.80 | Avg Fitness:   292.26 | Best Score:  10
Gen   67 | Best Fitness:  1641.70 | Avg Fitness:   312.08 | Best Score:  10
  *** NEW RECORD: 11 (was 10) | Seed: 1788755024 ***
Gen   68 | Best Fitness:  2260.60 | Avg Fitness:   309.55 | Best Score:  11
Gen   69 | Best Fitness:  2457.50 | Avg Fitness:   320.07 | Best Score:  11
Gen   70 | Best Fitness:  2066.90 | Avg Fitness:   327.20 | Best Score:  11
Gen   71 | Best Fitness:  1515.60 | Avg Fitness:   324.99 | Best Score:  11
  *** NEW RECORD: 12 (was 11) | Seed: 1783995024 ***
Gen   72 | Best Fitness:  1872.09 | Avg Fitness:   338.25 | Best Score:  12
  *** NEW RECORD: 13 (was 12) | Seed: 1786153024 ***
Gen   73 | Best Fitness:  2688.80 | Avg Fitness:   330.23 | Best Score:  13
Gen   74 | Best Fitness:  1802.00 | Avg Fitness:   344.76 | Best Score:  13
Gen   75 | Best Fitness:  2609.50 | Avg Fitness:   342.39 | Best Score:  13
Gen   76 | Best Fitness:  1982.00 | Avg Fitness:   355.39 | Best Score:  13
Gen   77 | Best Fitness:  2300.50 | Avg Fitness:   365.32 | Best Score:  13
Gen   78 | Best Fitness:  1934.30 | Avg Fitness:   379.05 | Best Score:  13
Gen   79 | Best Fitness:  2406.30 | Avg Fitness:   376.20 | Best Score:  13
  *** NEW RECORD: 14 (was 13) | Seed: 1775283024 ***
Gen   80 | Best Fitness:  3096.03 | Avg Fitness:   389.67 | Best Score:  14
Gen   81 | Best Fitness:  2024.60 | Avg Fitness:   367.27 | Best Score:  14
Gen   82 | Best Fitness:  2432.93 | Avg Fitness:   387.96 | Best Score:  14
Gen   83 | Best Fitness:  2649.50 | Avg Fitness:   393.84 | Best Score:  14
Gen   84 | Best Fitness:  2421.00 | Avg Fitness:   404.36 | Best Score:  14
Gen   85 | Best Fitness:  2896.70 | Avg Fitness:   414.38 | Best Score:  14
Gen   86 | Best Fitness:  3336.60 | Avg Fitness:   421.35 | Best Score:  14
Gen   87 | Best Fitness:  2501.54 | Avg Fitness:   402.07 | Best Score:  14
  *** NEW RECORD: 19 (was 14) | Seed: 1783784024 ***
Gen   88 | Best Fitness:  4820.70 | Avg Fitness:   401.74 | Best Score:  19
Gen   89 | Best Fitness:  2627.90 | Avg Fitness:   424.45 | Best Score:  19
Gen   90 | Best Fitness:  3380.40 | Avg Fitness:   427.91 | Best Score:  19
Gen   91 | Best Fitness:  3212.50 | Avg Fitness:   431.47 | Best Score:  19
Gen   92 | Best Fitness:  2926.40 | Avg Fitness:   432.95 | Best Score:  19
Gen   93 | Best Fitness:  2908.00 | Avg Fitness:   441.89 | Best Score:  19
Gen   94 | Best Fitness:  3516.80 | Avg Fitness:   430.79 | Best Score:  19
Gen   95 | Best Fitness:  3535.50 | Avg Fitness:   446.55 | Best Score:  19
Gen   96 | Best Fitness:  3206.50 | Avg Fitness:   421.80 | Best Score:  19
Gen   97 | Best Fitness:  3486.85 | Avg Fitness:   425.09 | Best Score:  19
Gen   98 | Best Fitness:  3471.27 | Avg Fitness:   438.02 | Best Score:  19
Gen   99 | Best Fitness:  3856.00 | Avg Fitness:   412.11 | Best Score:  19
Gen  100 | Best Fitness:  4265.00 | Avg Fitness:   418.27 | Best Score:  19
  -> Saved checkpoint to best_agent.json
  -> Gen 100 completed in 0.09s | Networks: min=16 max=80 avg=61
Gen  101 | Best Fitness:  4714.40 | Avg Fitness:   423.30 | Best Score:  19
  *** NEW RECORD: 20 (was 19) | Seed: 1784863024 ***
Gen  102 | Best Fitness:  4826.38 | Avg Fitness:   446.19 | Best Score:  20
Gen  103 | Best Fitness:  2761.90 | Avg Fitness:   451.82 | Best Score:  20
Gen  104 | Best Fitness:  3954.17 | Avg Fitness:   447.49 | Best Score:  20
Gen  105 | Best Fitness:  4144.30 | Avg Fitness:   462.26 | Best Score:  20
Gen  106 | Best Fitness:  3502.10 | Avg Fitness:   465.16 | Best Score:  20
Gen  107 | Best Fitness:  3309.70 | Avg Fitness:   468.43 | Best Score:  20
Gen  108 | Best Fitness:  4524.80 | Avg Fitness:   495.99 | Best Score:  20
Gen  109 | Best Fitness:  6976.90 | Avg Fitness:   496.10 | Best Score:  20
Gen  110 | Best Fitness:  4018.20 | Avg Fitness:   504.70 | Best Score:  20
Gen  111 | Best Fitness:  4300.80 | Avg Fitness:   532.06 | Best Score:  20
  *** NEW RECORD: 21 (was 20) | Seed: 1774674024 ***
Gen  112 | Best Fitness:  5384.98 | Avg Fitness:   548.65 | Best Score:  21
Gen  113 | Best Fitness:  5277.30 | Avg Fitness:   552.15 | Best Score:  21
Gen  114 | Best Fitness:  5340.20 | Avg Fitness:   568.12 | Best Score:  21
Gen  115 | Best Fitness:  4277.00 | Avg Fitness:   557.26 | Best Score:  21
Gen  116 | Best Fitness:  4776.70 | Avg Fitness:   576.58 | Best Score:  21
Gen  117 | Best Fitness:  5488.80 | Avg Fitness:   556.05 | Best Score:  21
Gen  118 | Best Fitness:  4366.70 | Avg Fitness:   555.46 | Best Score:  21
Gen  119 | Best Fitness:  6073.60 | Avg Fitness:   556.06 | Best Score:  21
Gen  120 | Best Fitness:  4040.70 | Avg Fitness:   567.30 | Best Score:  21
Gen  121 | Best Fitness:  4468.30 | Avg Fitness:   550.90 | Best Score:  21
Gen  122 | Best Fitness:  4865.87 | Avg Fitness:   556.29 | Best Score:  21
Gen  123 | Best Fitness:  5595.40 | Avg Fitness:   535.90 | Best Score:  21
Gen  124 | Best Fitness:  5165.95 | Avg Fitness:   548.10 | Best Score:  21
Gen  125 | Best Fitness:  8291.20 | Avg Fitness:   538.26 | Best Score:  21
Gen  126 | Best Fitness:  3359.50 | Avg Fitness:   512.06 | Best Score:  21
Gen  127 | Best Fitness:  6895.90 | Avg Fitness:   514.78 | Best Score:  21
Gen  128 | Best Fitness:  4032.50 | Avg Fitness:   497.09 | Best Score:  21
  *** NEW RECORD: 22 (was 21) | Seed: 1786684024 ***
Gen  129 | Best Fitness:  6182.70 | Avg Fitness:   516.46 | Best Score:  22
